Viability,Smiles
89.64,CC(c1c(C)c(C(N(CC2)CCC2c2ccncc2)=O)c(C)[nH]1)=O
73.36,Cc1c(C(N(CCC2)CCN2C(c2cocc2)=O)=O)scn1
109.22,CCNc(nc1)ncc1-c1c(-c2ccccc2)ncn1CC(O)=O
91.37,C[C@H]1O[C@@H](C)CN(C[C@H]2[C@@H](CO)CN(Cc(cc3)ccc3C
89.64,O=C(CN(C(CN1)=O)C1=O)N(CC1)CCC1(CC1)CN(Cc2ccccc2)C1=O
108.47,Cc(n(C)cc1)c1C(N(CC1)CCC1(CC1)CN(Cc2ccncc2)C1=O)=O
104.93,Cn1c(C(c2nn(CCN(C3)C(c4cc(CCC5)c5cc4)=O)c3c2)O)ncc1
101.87,COc(cc1)cc2c1[nH]c(CNC(C(C1)COc(cc3)c1cc3OC)=O)c2
93.45,CC(C)[C@@H](CN(C1)C2CCN(Cc3ccccc3)CC2)[C@H]1NS(C)(=O)=O
83.32,Cc1nc(CNC(c2cc(CN)ccc2)=O)nc(C)c1
102.27,CCc1nc2c(C)c(C)nn2c(N(C)Cc2cc(C)ncc2)c1
88.39,CN(C)c1nc(N)cc(-c2cccc(CO)c2)n1
92.9,COc1cc(C(NC([C@H](C2)C[C@H]2O)c2ncccc2)=O)cc(OC)c1
110.3,CN(C)S(N(CCC1)CC1c1nnc(CN2CCCC2)n1C)(=O)=O
109.28,O=C(CCc(cc1)cc2c1OCO2)N(CCC1)CC1c1nccn1CC1CC1
91.88,C(c1cnc(-c2ccccc2)s1)n1c(-c2nn(CCNC3)c3c2)ncc1
94.25,OCCn1nc(C(CCC2)CN2C(C(N(C=CS2)C2=N2)=CC2=O)=O)cc1
82.96,CC(C(N1)=O)=CN(CC(NCCc2nc(CCCC3)c3s2)=O)C1=O
69.7,CC(C)(C)c(cc1)cc2c1oc(CNC(C(C1)CNC1=O)=O)n2
102.16,CCC[C@@H](CN(Cc1cc(cccc2)c2n1C)C1)[C@H]1NS(C)(=O)=O
94.79,CCC(CC)CN(CC(CC1)(CCN1C(CCc1cn(C)nc1)=O)O1)C1=O
96.58,N[C@H](C(N(CC1)CCC11Nc(cccc2)c2NC1=O)=O)c1ccccc1
100.83,Cc1nnnn1CC(N(CCC1)CC1c1nccn1CCCN(C)C)=O
181.72,Cc(cncc1)c1N1CCN(CCCSC)CC1
87.7,Cc1ccc(CCNC(CC2N(Cc(cc3)ccc3F)CCNC2=O)=O)o1
93.36,Cc(cc1)cn2c1nc(C(N(C)Cc1c[nH]nc1-c(cc1)ccc1F)=O)c2
99.9,Cc1cnc(C)c(-c2cccc(C(N(C)CC3OCCCC3)=O)c2)n1
118.29,Cc1c(CC(NC(C(F)(F)F)c2ncccc2)=O)c(cc(cc2)F)c2[nH]1
103.65,Cc1cc(-c2cccc(C(N3Cc(cc(CO)cc4)c4OCC3)=O)c2)nc(C)c1
105.4,Cn1c(SCCNC(CC2)CCN2c2nc(cccc3)c3s2)ncc1
87.83,Cc1nonc1CN(c1c(c2ccc3)c3ccc1)C2=O
75.34,Cc1cccc(-c2nc(C3COCC3)no2)c1OC
57.08,CC(CC(N(CC1)CCC1c1n[nH]cc1C)=O)n1nc(C)c(C(C)=O)c1C
80.63,Cc1cc(C)nn1-c(cc1)ccc1NC(NC(C1CC1)c1nc(C)ccc1)=O
91.36,CC(C)N(Cc1noc(C)n1)C(c(cc1)ccc1-c1cncc(OC)c1)=O
90.29,Cc1cc(C)nn1C(C1)CN1C(CCC(C(N1)=O)NC1=O)=O
158.74,O=C(c(cc1)ccc1-c1c(C(F)(F)F)cccn1)NCC1OCCCC1
97.26,Cc1nc(N(CCC2)CC2(CC2)CN(CCCO)C2=O)nc(C(OC)=O)c1
57.82,Cc1nc(NCc2cc3ccccc3nc2)cc(C2COCC2)n1
100.92,Cc1noc(C)c1CC(N(C[C@@H](C1)N(C)C)[C@@H]1C(O)=O)=O
89.37,CN(Cc1nccnc1)C(c(sc1cccc(F)c11)c1Cl)=O
58.19,CO[C@@](CC1)(CC[C@H](C2)Oc3ncccc3)[C@H]2N1C(C1CCCCC1)=O
180.24,COc(cccc1cc2)c1nc2-c(cc1)ccc1C(NCC1OCCCC1)=O
105.28,COCc1cc(N(C[C@@H]2CN(C3)C(C4CCCC4)=O)C[C@]23C(O)=O)ncn1
102.91,O[C@@H](CN(C1)C(c(sc2cccc(F)c22)c2Cl)=O)[C@H]1N1CCCC1
86.95,O=C(c(cc1)cc2c1[nH]cn2)N(CC1)CCC11Nc(cccc2)c2NC1=O
97.43,COc1cccc(C2)c1OCC2C(NCCn(cc1)c2c1cccc2)=O
91.08,CC(C)Oc(cc1)cc2c1c(NC(C1CN(C)CC1)=O)nn2Cc1ccccc1
91.03,Fc1cc(-n2ncc(CN3CC(c4cnccc4)OCC3)c2)ccc1
82.53,OC(CNC(c1c[nH]nc1-c1cccc(F)c1)=O)c1ncccc1
101.1,CN([C@@H](COC1)[C@H]1O)C(c1cc(-c2ccncc2)nc2ccccc12)=O
81.13,Cc1c(C(N(CC2)CCC22Nc(cccc3)c3NC2=O)=O)[nH]c2c1cccc2
102.8,CC(CCC1=O)N1c1cc(NC(N(Cc2cc(O)ccc2)C2CC2)=O)ccc1
112.3,CC(C(NCC1)=O)N1C(c1cccc(-c(cc2)cc(O3)c2OC3(F)F)c1)=O
73.75,CCCOc(ccc(C(N[C@@H](COC1)[C@H]1O)=O)c1)c1Cl
96.6,OCC(C=CC1)N1C(C(CC1)CCN1C(C1CC1)=O)=O
100.4,CC(C)(CCc(cc1)ccc1-c1nc(C)nn1C1CCN(C)CC1)O
101.0,CCC[C@@H](CN(C1)c2cc(C)c(ccc(SC)c3)c3n2)[C@H]1NC(C)=O
111.97,CCC[C@@H](CN(C1)C(c(cn2)ncc2O)=O)[C@H]1N(C)C
112.25,CN(CC1)CCN1C(CCC(CCC1)CN1C(c(ccc(F)c1)c1O)=O)=O
106.96,CN(C)C(CCc(cccc1)c1NC(NCC1OCCOC1)=O)=O
89.32,Cc1nc2ccccc2c(-c2cccc(C(N(CCC3)CC3OC)=O)c2)c1
98.47,C[C@H](CN(CC1)C(c2nc(C)nc(C)c2)=O)[C@@]1(C)O
147.04,CC(C)Cc1noc(CNC(c2ccncc2)=O)c1
72.7,Cc1cc(C(N2CCC(COc(cc3)ccc3OC)CC2)=O)c(C)o1
66.86,Cc1cccc(-c2cccc(C(N(Cc(cc3)cc(OC)c3O)C3CC3)=O)c2)n1
95.73,Cc1c2nc(C)cc(NCc3nc(C4CCCCC4)no3)n2nc1C
109.67,Cc1c(CN(C)C(C(N(C)C(N2C)=O)=CC2=O)=O)[nH]c2c1cccc2
146.92,CCn1nc(C(N(CCC2)CC2c2ccnn2CC(O)=O)=O)c(Cl)c1
83.55,CCOc1cccc(-c(cc2)ccc2C(N(C)CC2(CO)CCCC2)=O)c1
85.3,OC(CN(CC1)[C@H](CS(C2)(=O)=O)[C@H]2N1C(N1CCCC1)=O)=O
94.02,OC[C@@H](C1)[C@H](CN2CCCC2)CN1C(CCN(C=CC(N1)=O)C1=O)=O
104.34,Oc(ccc(CC(N1[C@@H](CS(C2)(=O)=O)[C@@H]2N(CC2CC2)CC1)=O)c1)c1Cl
89.56,Cc1ccc(-c2n[nH]c(C(NCc3ncc(C)nc3)=O)c2)o1
88.42,Cc1nc(CNC(Cc(cc2)ccc2SC)=O)n[nH]1
